epoch,accuracy
0,0.3275221586227417
1,0.46376341581344604
2,0.5155764222145081
3,0.541436493396759
4,0.5632109045982361
5,0.578601598739624
6,0.591067373752594
7,0.5989367961883545
8,0.6084544062614441
9,0.6212219595909119
10,0.6283950209617615
11,0.6368215680122375
12,0.6412553787231445
13,0.6491944789886475
14,0.659153163433075
15,0.6646547913551331
16,0.6661404967308044
17,0.6747527718544006
18,0.6810901165008545
19,0.6853381991386414
20,0.691095232963562
21,0.6987789869308472
22,0.7048144936561584
23,0.7076233625411987
24,0.710966169834137
25,0.715539276599884
26,0.7196016311645508
27,0.7249872088432312
28,0.7316263318061829
29,0.734736979007721
30,0.7405404448509216
31,0.7419100403785706
32,0.7438831925392151
33,0.7502901554107666
34,0.7543525695800781
35,0.7552810907363892
36,0.7593435049057007
37,0.7605041861534119
38,0.7663076519966125
39,0.7689539790153503
40,0.7719950079917908
41,0.7764984369277954
42,0.7798412442207336
43,0.7809786796569824
44,0.7853428721427917
45,0.785180389881134
46,0.7906355857849121
47,0.7920980453491211
48,0.7969961762428284
49,0.8007335662841797
50,0.8011049628257751
51,0.8028460144996643
52,0.8068387508392334
53,0.8048887848854065
54,0.8087422847747803
55,0.812502920627594
56,0.8163331747055054
57,0.8163331747055054
58,0.8152421116828918
59,0.8176795840263367
60,0.8198848366737366
61,0.8241097331047058
62,0.8275221586227417
63,0.8294953107833862
64,0.8298203349113464
65,0.8303078413009644
66,0.8302614092826843
67,0.8321416974067688
68,0.8343701958656311
69,0.8411950469017029
70,0.8399646878242493
71,0.8397557735443115
72,0.8415200114250183
73,0.8447931408882141
74,0.8475555777549744
75,0.841427206993103
76,0.8510376811027527
77,0.84820556640625
78,0.8469288349151611
79,0.8542179465293884
80,0.8525001406669617
81,0.8552393317222595
82,0.8527786731719971
83,0.8544732928276062
84,0.8568642735481262
85,0.8579785227775574
86,0.8593249320983887
87,0.8566321730613708
88,0.8614606261253357
89,0.8578392863273621
90,0.8611124157905579
91,0.8638980388641357
92,0.8617391586303711
93,0.8647337555885315
94,0.8672176003456116
95,0.8630855679512024
96,0.8672176003456116
97,0.870258629322052
98,0.8713728785514832
99,0.8665444254875183
100,0.8704211115837097
101,0.872649610042572
102,0.8708157539367676
103,0.8743209838867188
104,0.872556746006012
105,0.8715585470199585
106,0.8752959966659546
107,0.8767120242118835
108,0.8766887784004211
109,0.8814243674278259
110,0.8787547945976257
111,0.8792423009872437
112,0.8808672428131104
113,0.8800780177116394
114,0.8797298073768616
115,0.8822832703590393
116,0.8811922669410706
117,0.8823529481887817
118,0.8875760436058044
119,0.8827707767486572
120,0.8816797733306885
121,0.8863224983215332
122,0.8872974514961243
123,0.8881796002388
124,0.8882724642753601
125,0.884581446647644
126,0.8869492411613464
127,0.8869724869728088
128,0.8869492411613464
129,0.888922393321991
130,0.8909420371055603
131,0.8892241716384888
132,0.889549195766449
133,0.891058087348938
134,0.8959097266197205
135,0.8894331455230713
136,0.8921027183532715
137,0.8937508463859558
138,0.889061689376831
139,0.8927294611930847
