epoch,false_positives
0,1479.0
1,3585.0
2,4067.0
3,4392.0
4,4613.0
5,4805.0
6,4853.0
7,5005.0
8,5155.0
9,5237.0
10,5359.0
11,5484.0
12,5461.0
13,5608.0
14,5667.0
15,5676.0
16,5832.0
17,5844.0
18,5866.0
19,5973.0
20,5806.0
21,5915.0
22,6039.0
23,5915.0
24,6076.0
25,6046.0
26,6001.0
27,5981.0
28,6003.0
29,5974.0
30,6017.0
31,5904.0
32,5939.0
33,5901.0
34,5848.0
35,5911.0
36,5888.0
37,5854.0
38,5830.0
39,5837.0
40,5713.0
41,5701.0
42,5692.0
43,5759.0
44,5582.0
45,5647.0
46,5609.0
47,5505.0
48,5569.0
49,5450.0
50,5353.0
51,5477.0
52,5341.0
53,5402.0
54,5342.0
55,5223.0
56,5256.0
57,5255.0
58,5253.0
59,5191.0
60,5275.0
61,5128.0
62,5009.0
63,5043.0
64,5091.0
65,4924.0
66,4972.0
67,4870.0
68,4917.0
69,4830.0
70,4763.0
71,4802.0
72,4754.0
73,4689.0
74,4646.0
75,4729.0
76,4572.0
77,4624.0
78,4683.0
79,4517.0
80,4515.0
81,4552.0
82,4554.0
83,4527.0
84,4502.0
85,4455.0
86,4394.0
87,4543.0
88,4362.0
89,4510.0
90,4389.0
91,4372.0
92,4398.0
93,4348.0
94,4270.0
95,4342.0
96,4274.0
97,4127.0
98,4112.0
99,4301.0
100,4143.0
101,4123.0
102,4153.0
103,4076.0
104,4178.0
105,4158.0
106,4095.0
107,4074.0
108,4002.0
109,3945.0
110,3982.0
111,3936.0
112,3922.0
113,3968.0
114,4005.0
115,3910.0
116,3969.0
117,3884.0
118,3752.0
119,3873.0
120,3878.0
121,3809.0
122,3778.0
123,3702.0
124,3710.0
125,3810.0
126,3751.0
127,3752.0
128,3779.0
129,3742.0
130,3647.0
131,3682.0
132,3722.0
133,3668.0
134,3515.0
135,3733.0
136,3641.0
137,3567.0
138,3746.0
139,3581.0
