epoch,mean_io_u
0,0.4375
1,0.4375
2,0.4375
3,0.4375
4,0.4375
5,0.4375
6,0.4375
7,0.4375
8,0.4375128746032715
9,0.4375
10,0.4375
11,0.4375
12,0.4375
13,0.4375
14,0.4375
15,0.4375
16,0.4375
17,0.4375
18,0.4375
19,0.4375
20,0.4375
21,0.4375
22,0.4375
23,0.4375
24,0.4375
25,0.4375
26,0.4375
27,0.4375
28,0.4375
29,0.4375
30,0.4375
31,0.4375128746032715
32,0.4375
33,0.4375
34,0.4375
35,0.4375
36,0.4375
37,0.4375
38,0.4375
39,0.4375
40,0.4375
41,0.4375
42,0.4375
43,0.4375
44,0.4375
45,0.4375
46,0.4375
47,0.4375
48,0.4375
49,0.4375
50,0.4375
51,0.4375
52,0.4375
53,0.4375
54,0.4375
55,0.4375
56,0.4375
57,0.4375
58,0.4375
59,0.4375
60,0.4375
61,0.4375128746032715
62,0.4375
63,0.4375
64,0.4375
65,0.4375
66,0.4375
67,0.4375
68,0.4375
69,0.4375
70,0.4375
71,0.4375
72,0.4375
73,0.4375
74,0.4375128746032715
75,0.4375128746032715
76,0.4375
77,0.4375
78,0.4375
79,0.4375
80,0.4375
81,0.4375
82,0.43752574920654297
83,0.4375
84,0.4375
85,0.4375
86,0.4375128746032715
87,0.4375
88,0.4375128746032715
89,0.4375
90,0.4375
91,0.4375
92,0.4375128746032715
93,0.4375
94,0.4375
95,0.4375128746032715
96,0.4375128746032715
97,0.4375128746032715
98,0.43753862380981445
99,0.4375
100,0.4375
101,0.4375
102,0.4375
103,0.4375
104,0.4375
105,0.4375128746032715
106,0.4375
107,0.4375
108,0.4375128746032715
109,0.4375128746032715
110,0.4375128746032715
111,0.4375128746032715
112,0.4375
113,0.4375
114,0.4375
115,0.4375
116,0.4375
117,0.4375
118,0.4375
119,0.4375128746032715
120,0.4375128746032715
121,0.43752574920654297
122,0.4375
123,0.4375
124,0.4375
125,0.4375128746032715
126,0.4375
127,0.4375
128,0.4375128746032715
129,0.4375
130,0.4375
131,0.4375
132,0.4375128746032715
133,0.4375128746032715
134,0.4375128746032715
135,0.4375
136,0.4375
137,0.4375128746032715
138,0.4375
139,0.43753862380981445
