epoch,precision_at_recall
0,0.26860252022743225
1,0.4481915235519409
2,0.5430390238761902
3,0.5897477865219116
4,0.6368688941001892
5,0.6633706092834473
6,0.691866397857666
7,0.7132372260093689
8,0.7288084030151367
9,0.7482929825782776
10,0.769740104675293
11,0.7779178023338318
12,0.7952616214752197
13,0.8045981526374817
14,0.8180578947067261
15,0.8296439051628113
16,0.8338030576705933
17,0.8425144553184509
18,0.8497041463851929
19,0.8598726391792297
20,0.8667578101158142
21,0.874494731426239
22,0.8846501111984253
23,0.8902091979980469
24,0.8899521827697754
25,0.8960033059120178
26,0.9046700596809387
27,0.9095905423164368
28,0.9169889688491821
29,0.9154031276702881
30,0.9204685688018799
31,0.9218328595161438
32,0.9268795847892761
33,0.9333247542381287
34,0.9340459704399109
35,0.936407208442688
36,0.9374755620956421
37,0.9404071569442749
38,0.9412326812744141
39,0.9483780264854431
40,0.9481003880500793
41,0.9503998160362244
42,0.9532359838485718
43,0.9538935422897339
44,0.9558479189872742
45,0.9554829597473145
46,0.9589529037475586
47,0.960139811038971
48,0.9631149172782898
49,0.965135395526886
50,0.9677911400794983
51,0.9663474559783936
52,0.9685222506523132
53,0.9688998460769653
54,0.968994677066803
55,0.972166121006012
56,0.9721291661262512
57,0.9740113019943237
58,0.9719488620758057
59,0.9734644889831543
60,0.976021409034729
61,0.9779212474822998
62,0.9774985313415527
63,0.9783238172531128
64,0.9791789650917053
65,0.9763956069946289
66,0.9796938300132751
67,0.9795042872428894
68,0.9800398945808411
69,0.9835197329521179
70,0.9806713461875916
71,0.9807438254356384
72,0.9836840629577637
73,0.983662486076355
74,0.9841530323028564
75,0.9828243255615234
76,0.984379231929779
77,0.9824506640434265
78,0.9844451546669006
79,0.986375629901886
80,0.9865054488182068
81,0.9857602715492249
82,0.9871707558631897
83,0.9861481785774231
84,0.9853219985961914
85,0.9868848323822021
86,0.9876857399940491
87,0.9868781566619873
88,0.9875706434249878
89,0.9861925840377808
90,0.9877049326896667
91,0.9876270294189453
92,0.9877256155014038
93,0.9885609745979309
94,0.9894353151321411
95,0.9896869659423828
96,0.9892165064811707
97,0.988902747631073
98,0.9893978238105774
99,0.988490641117096
100,0.9898095726966858
101,0.9882498979568481
102,0.9888490438461304
103,0.9918051362037659
104,0.9900366067886353
105,0.9909024238586426
106,0.9907550811767578
107,0.9906660914421082
108,0.9909884929656982
109,0.9911705851554871
110,0.9918605089187622
111,0.9914111495018005
112,0.9918227195739746
113,0.9908264875411987
114,0.9912439584732056
115,0.9911130666732788
116,0.9911861419677734
117,0.9917828440666199
118,0.9928895831108093
119,0.9908252954483032
120,0.9922053813934326
121,0.9933324456214905
122,0.9930636286735535
123,0.9925198554992676
124,0.9936144351959229
125,0.9915871620178223
126,0.9923259615898132
127,0.9937809705734253
128,0.9925298690795898
129,0.9930399656295776
130,0.9922940135002136
131,0.9926347136497498
132,0.9925103783607483
133,0.9928457736968994
134,0.9928889870643616
135,0.9924255609512329
136,0.9934227466583252
137,0.9938094019889832
138,0.9922358989715576
139,0.993033766746521
