epoch,true_negatives
0,300067.0
1,297961.0
2,297479.0
3,297154.0
4,296933.0
5,296741.0
6,296693.0
7,296541.0
8,296391.0
9,296309.0
10,296187.0
11,296062.0
12,296085.0
13,295938.0
14,295879.0
15,295870.0
16,295714.0
17,295702.0
18,295680.0
19,295573.0
20,295740.0
21,295631.0
22,295507.0
23,295631.0
24,295470.0
25,295500.0
26,295545.0
27,295565.0
28,295543.0
29,295572.0
30,295529.0
31,295642.0
32,295607.0
33,295645.0
34,295698.0
35,295635.0
36,295658.0
37,295692.0
38,295716.0
39,295709.0
40,295833.0
41,295845.0
42,295854.0
43,295787.0
44,295964.0
45,295899.0
46,295937.0
47,296041.0
48,295977.0
49,296096.0
50,296193.0
51,296069.0
52,296205.0
53,296144.0
54,296204.0
55,296323.0
56,296290.0
57,296291.0
58,296293.0
59,296355.0
60,296271.0
61,296418.0
62,296537.0
63,296503.0
64,296455.0
65,296622.0
66,296574.0
67,296676.0
68,296629.0
69,296716.0
70,296783.0
71,296744.0
72,296792.0
73,296857.0
74,296900.0
75,296817.0
76,296974.0
77,296922.0
78,296863.0
79,297029.0
80,297031.0
81,296994.0
82,296992.0
83,297019.0
84,297044.0
85,297091.0
86,297152.0
87,297003.0
88,297184.0
89,297036.0
90,297157.0
91,297174.0
92,297148.0
93,297198.0
94,297276.0
95,297204.0
96,297272.0
97,297419.0
98,297434.0
99,297245.0
100,297403.0
101,297423.0
102,297393.0
103,297470.0
104,297368.0
105,297388.0
106,297451.0
107,297472.0
108,297544.0
109,297601.0
110,297564.0
111,297610.0
112,297624.0
113,297578.0
114,297541.0
115,297636.0
116,297577.0
117,297662.0
118,297794.0
119,297673.0
120,297668.0
121,297737.0
122,297768.0
123,297844.0
124,297836.0
125,297736.0
126,297795.0
127,297794.0
128,297767.0
129,297804.0
130,297899.0
131,297864.0
132,297824.0
133,297878.0
134,298031.0
135,297813.0
136,297905.0
137,297979.0
138,297800.0
139,297965.0
